listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
11508,28/10/2025,t,60,,3,1125
11508,29/10/2025,t,60,,3,1125
11508,30/10/2025,t,60,,3,1125
11508,31/10/2025,t,60,,3,1125
11508,01/11/2025,t,60,,3,1125
11508,02/11/2025,t,60,,3,1125
11508,03/11/2025,t,60,,3,1125
11508,04/11/2025,t,60,,3,1125
11508,05/11/2025,t,60,,3,1125
11508,06/11/2025,t,60,,3,1125
11508,07/11/2025,t,60,,3,1125
11508,08/11/2025,t,60,,3,1125
11508,09/11/2025,t,60,,3,1125
11508,10/11/2025,t,60,,3,1125
11508,11/11/2025,t,60,,3,1125
11508,12/11/2025,t,60,,3,1125
11508,13/11/2025,t,60,,3,1125
11508,14/11/2025,t,60,,3,1125
11508,15/11/2025,t,60,,3,1125
11508,16/11/2025,t,60,,3,1125
11508,17/11/2025,t,60,,3,1125
11508,18/11/2025,t,60,,3,1125
11508,19/11/2025,t,60,,3,1125
11508,20/11/2025,t,60,,3,1125
11508,21/11/2025,t,60,,3,1125
11508,22/11/2025,t,60,,3,1125
11508,23/11/2025,t,60,,3,1125
11508,24/11/2025,t,60,,3,1125
11508,25/11/2025,t,60,,3,1125
11508,26/11/2025,t,60,,3,1125
11508,27/11/2025,t,60,,3,1125
11508,28/11/2025,t,60,,3,1125
11508,29/11/2025,t,60,,3,1125
11508,30/11/2025,t,60,,3,1125
11508,01/12/2025,t,60,,3,1125
11508,02/12/2025,t,60,,3,1125
11508,03/12/2025,t,60,,3,1125
11508,04/12/2025,t,60,,3,1125
11508,05/12/2025,t,60,,3,1125
11508,06/12/2025,t,60,,3,1125
11508,07/12/2025,t,60,,3,1125
11508,08/12/2025,t,60,,3,1125
11508,09/12/2025,t,60,,3,1125
11508,10/12/2025,t,60,,3,1125
11508,11/12/2025,t,60,,3,1125
11508,12/12/2025,t,60,,3,1125
11508,13/12/2025,t,60,,3,1125
11508,14/12/2025,t,60,,3,1125
11508,15/12/2025,t,60,,3,1125
11508,16/12/2025,t,60,,3,1125
11508,17/12/2025,t,60,,3,1125
11508,18/12/2025,t,60,,3,1125
11508,19/12/2025,t,60,,3,1125
11508,20/12/2025,t,60,,3,1125
11508,21/12/2025,t,60,,3,1125
11508,22/12/2025,t,60,,3,1125
11508,23/12/2025,t,60,,3,1125
11508,24/12/2025,t,60,,3,1125
11508,25/12/2025,t,60,,3,1125
11508,26/12/2025,t,60,,3,1125
11508,27/12/2025,t,60,,3,1125
11508,28/12/2025,t,60,,3,1125
11508,29/12/2025,t,60,,3,1125
11508,30/12/2025,t,60,,3,1125
11508,31/12/2025,t,60,,3,1125
11508,01/01/2026,t,60,,3,1125
11508,02/01/2026,t,60,,3,1125
11508,03/01/2026,t,60,,3,1125
11508,04/01/2026,t,60,,3,1125
11508,05/01/2026,t,60,,3,1125
11508,06/01/2026,t,60,,3,1125
11508,07/01/2026,t,60,,3,1125
11508,08/01/2026,t,60,,3,1125
11508,09/01/2026,t,60,,3,1125
11508,10/01/2026,t,60,,3,1125
11508,11/01/2026,t,60,,3,1125
11508,12/01/2026,t,60,,3,1125
11508,13/01/2026,t,60,,3,1125
11508,14/01/2026,t,60,,3,1125
11508,15/01/2026,t,60,,3,1125
11508,16/01/2026,t,60,,3,1125
11508,17/01/2026,t,60,,3,1125
11508,18/01/2026,t,60,,3,1125
11508,19/01/2026,t,60,,3,1125
11508,20/01/2026,t,60,,3,1125
11508,21/01/2026,t,60,,3,1125
11508,22/01/2026,t,60,,3,1125
11508,23/01/2026,t,60,,3,1125
11508,24/01/2026,t,60,,3,1125
11508,25/01/2026,t,60,,3,1125
11508,26/01/2026,t,60,,3,1125
11508,27/01/2026,t,60,,3,1125
11508,28/01/2026,t,60,,3,1125
11508,29/01/2026,t,60,,3,1125
14222,30/01/2025,t,35,,7,1125
65446,30/01/2025,f,120,,3,1125
65446,31/01/2025,f,120,,3,1125
65446,01/02/2025,f,120,,3,1125
65446,02/02/2025,f,120,,3,1125
65446,03/02/2025,f,120,,3,1125
65446,04/02/2025,f,120,,3,1125
65446,05/02/2025,f,120,,3,1125
65446,06/02/2025,f,120,,3,1125
65446,07/02/2025,f,120,,3,1125
65446,08/02/2025,f,120,,3,1125
65446,09/02/2025,f,120,,3,1125
65446,10/02/2025,f,120,,3,1125
65446,11/02/2025,f,120,,3,1125
65446,12/02/2025,f,120,,3,1125
65446,13/02/2025,f,120,,3,1125
65446,14/02/2025,f,120,,3,1125
65446,15/02/2025,f,120,,3,1125
65446,16/02/2025,f,120,,3,1125
65446,17/02/2025,f,120,,3,1125
65446,18/02/2025,f,120,,3,1125
65446,19/02/2025,f,120,,3,1125
65446,20/02/2025,f,120,,3,1125
65446,21/02/2025,f,120,,3,1125
65446,22/02/2025,f,120,,3,1125
65446,23/02/2025,f,120,,3,1125
65446,24/02/2025,f,120,,3,1125
65446,25/02/2025,f,120,,3,1125
65446,26/02/2025,f,120,,3,1125
65446,27/02/2025,f,120,,3,1125
65446,28/02/2025,f,120,,3,1125
65446,01/03/2025,f,120,,3,1125
65446,02/03/2025,f,120,,3,1125
65446,03/03/2025,f,120,,3,1125
65446,04/03/2025,t,120,,3,1125
65446,05/03/2025,t,120,,3,1125
65446,06/03/2025,t,120,,3,1125
65446,07/03/2025,t,120,,3,1125
65446,08/03/2025,t,120,,3,1125
65446,09/03/2025,f,120,,3,1125
65446,10/03/2025,f,120,,3,1125
65446,11/03/2025,f,120,,3,1125
65446,12/03/2025,f,120,,3,1125
65446,13/03/2025,f,120,,3,1125
65446,14/03/2025,f,120,,3,1125
65446,15/03/2025,f,120,,3,1125
65446,16/03/2025,f,120,,3,1125
65446,17/03/2025,f,120,,3,1125
65446,18/03/2025,f,120,,3,1125
65446,19/03/2025,f,120,,3,1125
65446,20/03/2025,f,120,,3,1125
65446,21/03/2025,f,120,,3,1125
65446,22/03/2025,f,120,,3,1125
65446,23/03/2025,f,120,,3,1125
65446,24/03/2025,f,120,,3,1125
65446,25/03/2025,f,120,,3,1125
65446,26/03/2025,f,120,,3,1125
65446,27/03/2025,f,120,,3,1125
65446,28/03/2025,f,120,,3,1125
65446,29/03/2025,f,120,,3,1125
65446,30/03/2025,f,120,,3,1125
65446,31/03/2025,f,120,,3,1125
65446,01/04/2025,t,120,,3,1125
65446,02/04/2025,t,120,,3,1125
65446,03/04/2025,t,120,,3,1125
65446,04/04/2025,t,120,,3,1125
65446,05/04/2025,t,120,,3,1125
65446,06/04/2025,t,120,,3,1125
65446,07/04/2025,t,120,,3,1125
65446,08/04/2025,t,120,,3,1125
65446,09/04/2025,t,120,,3,1125
65446,10/04/2025,t,120,,3,1125
65446,11/04/2025,t,120,,3,1125
65446,12/04/2025,t,120,,3,1125
65446,13/04/2025,t,120,,3,1125
65446,14/04/2025,t,120,,3,1125
65446,15/04/2025,t,120,,3,1125
65446,16/04/2025,t,120,,3,1125
65446,17/04/2025,t,120,,3,1125
65446,18/04/2025,t,120,,3,1125
65446,19/04/2025,t,120,,3,1125
65446,20/04/2025,t,120,,3,1125
65446,21/04/2025,t,120,,3,1125
65446,22/04/2025,t,120,,3,1125
65446,23/04/2025,t,120,,3,1125
65446,24/04/2025,t,120,,3,1125
65446,25/04/2025,f,120,,3,1125
65446,26/04/2025,f,120,,3,1125
65446,27/04/2025,f,120,,3,1125
65446,28/04/2025,t,120,,3,1125
65446,29/04/2025,t,120,,3,1125
65446,30/04/2025,t,120,,3,1125
65446,01/05/2025,t,120,,3,1125
65446,02/05/2025,t,120,,3,1125
65446,03/05/2025,t,120,,3,1125
65446,04/05/2025,t,120,,3,1125
65446,05/05/2025,t,120,,3,1125
65446,06/05/2025,t,120,,3,1125
65446,07/05/2025,t,120,,3,1125
65446,08/05/2025,t,120,,3,1125
65446,09/05/2025,t,120,,3,1125
65446,10/05/2025,t,120,,3,1125
65446,11/05/2025,t,120,,3,1125
65446,12/05/2025,t,120,,3,1125
65446,13/05/2025,t,120,,3,1125
65446,14/05/2025,t,120,,3,1125
65446,15/05/2025,t,120,,3,1125
65446,16/05/2025,t,120,,3,1125
65446,17/05/2025,t,120,,3,1125
65446,18/05/2025,t,120,,3,1125
65446,19/05/2025,t,120,,3,1125
65446,20/05/2025,t,120,,3,1125
65446,21/05/2025,t,120,,3,1125
65446,22/05/2025,t,120,,3,1125
65446,23/05/2025,t,120,,3,1125
65446,24/05/2025,t,120,,3,1125
65446,25/05/2025,t,120,,3,1125
65446,26/05/2025,t,120,,3,1125
65446,27/05/2025,t,120,,3,1125
65446,28/05/2025,t,120,,3,1125
65446,29/05/2025,t,120,,3,1125
65446,30/05/2025,t,120,,3,1125
65446,31/05/2025,t,120,,3,1125
65446,01/06/2025,t,120,,3,1125
65446,02/06/2025,t,120,,3,1125
65446,03/06/2025,t,120,,3,1125
65446,04/06/2025,t,120,,3,1125
65446,05/06/2025,t,120,,3,1125
65446,06/06/2025,t,120,,3,1125
65446,07/06/2025,t,120,,3,1125
65446,08/06/2025,t,120,,3,1125
65446,09/06/2025,t,120,,3,1125
65446,10/06/2025,t,120,,3,1125
65446,11/06/2025,t,120,,3,1125
65446,12/06/2025,t,120,,3,1125
65446,13/06/2025,t,120,,3,1125
65446,14/06/2025,t,120,,3,1125
65446,15/06/2025,t,120,,3,1125
65446,16/06/2025,t,120,,3,1125
65446,17/06/2025,t,120,,3,1125
65446,18/06/2025,t,120,,3,1125
65446,19/06/2025,t,120,,3,1125
65446,20/06/2025,t,120,,3,1125
65446,21/06/2025,t,120,,3,1125
65446,22/06/2025,t,120,,3,1125
65446,23/06/2025,t,120,,3,1125
65446,24/06/2025,t,120,,3,1125
65446,25/06/2025,t,120,,3,1125
65446,26/06/2025,t,120,,3,1125
65446,27/06/2025,t,120,,3,1125
65446,28/06/2025,t,120,,3,1125
65446,29/06/2025,t,120,,3,1125
65446,30/06/2025,t,120,,3,1125
65446,01/07/2025,t,120,,3,1125
65446,02/07/2025,t,120,,3,1125
65446,03/07/2025,t,120,,3,1125
65446,04/07/2025,t,120,,3,1125
65446,05/07/2025,t,120,,3,1125
65446,06/07/2025,t,120,,3,1125
65446,07/07/2025,t,120,,3,1125
65446,08/07/2025,t,120,,3,1125
65446,09/07/2025,t,120,,3,1125
65446,10/07/2025,t,120,,3,1125
65446,11/07/2025,t,120,,3,1125
65446,12/07/2025,t,120,,3,1125
65446,13/07/2025,t,120,,3,1125
65446,14/07/2025,t,120,,3,1125
65446,15/07/2025,t,120,,3,1125
65446,16/07/2025,t,120,,3,1125
65446,17/07/2025,t,120,,3,1125
65446,18/07/2025,t,120,,3,1125
65446,19/07/2025,t,120,,3,1125
65446,20/07/2025,t,120,,3,1125
65446,21/07/2025,t,120,,3,1125
65446,22/07/2025,t,120,,3,1125
65446,23/07/2025,t,120,,3,1125
65446,24/07/2025,t,120,,3,1125
65446,25/07/2025,t,120,,3,1125
65446,26/07/2025,t,120,,3,1125
