listing_id,id,date,reviewer_id,reviewer_name,comments
84033,651422,22/10/2011,174923,Roger,"We stayed in Maria's apartment for 10 days in mid-October.  The apartment was exactly as pictured within the listing.  The location was perfect... very close to the subway line and within walking distance to innumerable restaurants and retailers.  Special shout out to Lucianna (the property manager) and Fernando (on-site caretaker), both of whom were very professional and attentive to our requirements!"
84033,739208,23/11/2011,250355,Iv,"We had a great time staying at this well equipped apartment in Buenos Aires. The apartment was clean, sunny, and quite. The location was great. Subway stops are just a short walk. There are plenty of restaurants in the area, and the grocery store is close by. Furthermore, Luciana who checked us in was a pleasure to deal with - prompt, friendly, easy-going, and helpful. I highly recommend this property!"
84033,888717,29/01/2012,1563995,Nik,"Probably one of the nicest apartment I have ever stayed in, we begged to stay longer but it was booked out. It looks exactly like the photos, great pool area, comfortable living area and the roof top terrace is spectacular. I would recommend this apartment to anyone. Maria and Daniel were also great to deal with, they recommended places to go. The neighborhood is one of the best in BA safe and close to everything, lots of shops, cafes, bars, restaurant, buses and subways.
<br/>
<br/>You wont find a nicer place in BA........10/10
<br/>
<br/>"
84033,1026527,21/03/2012,1028490,Michael,"Well located, secure and well appointed.  Exactly as advertised."
84033,1086902,05/04/2012,1289715,Sonja,"Our stay may not have begun brilliantly, a server error meant the administrator was unaware of my arrival (and so the place was delightfully dirty) and it took some time to gain access to the property. However, Fernando (security), Maria (owner) and Luciana (manager) worked seriously hard to make the rest of our stay as comfortable as possible. The cleaner did an amazing job in the morning and Maria very kindly refunded a day and a halves fees by way of apology, which was much appreciated. The place is fantastic! Looks just like the pictures, lots of space and light, great gym and pool facilities and right in the centre of all the shops, restaurants etc. Plus the rooftop space is incredible! Great for lounging in the sun and making asados on the huge BBQ. on our last day Fernando even let us store our luggage safely for the day until we got our transfer. We would definitely come back. "
84033,1390554,31/05/2012,1213249,Mariana,"The Maria's apartment is super cool. It's very clean, organized and conveniently located in a lovely neighborhood. I recommend this apartment in a heartbeat."
84033,3491305,07/02/2013,3359407,Inga,"We enjoyed our stay at Marias penthouse flat and the efficient communication with the administrator. The flat was clean, quiet, with nice furniture, good wifi and TV channels. We liked the nice pool and the big upstairs terrace with a good barbeque, which we used every evening to grill the excellent beef we bought. The area is the best in BA, in our opinion, and we would like to stay here again next time."
84033,3593545,20/02/2013,4626741,Anne Lise,"We were very happy and satisfied with staying in this great flat and appartment building, that is brand new and very clean and safe.
<br/>The roof terrasse was of course fantastic, but I like to point out what we was far most happy for in this flat, and witch is hard to come by in Palermo, was the fact that the bedroom was compleatly quiet and no noice from the road to be heard, and the wonderful blind curtains that made the room dark!  I wold definetly stay there again!"
84033,3651778,28/02/2013,3505631,René,"It's a modern and bright apartment with everything you need. Absolutely gorgeous is the huge terrace on the roof of the apartment. 
<br/>Luciana, the responsible on behalf of the owners, was very friendly and helpful. "
84033,3760209,12/03/2013,4306695,Diane,"We really enjoyed our stay in Buenos Aires. The apartment was perfect and the location was perfect. We were met by Luciana who gave us an excellent introduction to the apartment - she also assisted us with getting a taxi when we left for home. We would highly recommend this apartment.
<br/>
<br/>Thanks,
<br/>Diane"
